code,label
"#include <iostream>
#include <cmath>

int countDivisors(int num, int minDivisor) {
    int count = 0;
    for (int i = minDivisor; i <= sqrt(num); i++) {
        if (num % i == 0) {
            count++;
            if (num / i != i)
                count++;
        }
    }
    return count;
}

int main() {
    int n;
    std::cin >> n;
    for (int i = 0; i < n; i++) {
        int num;
        std::cin >> num;
        std::cout << countDivisors(num, 2) << std::endl;
    }
    return 0;
}",1
"#include <iostream>#include <cmath>using namespace std;int countDivisors(int x, int y) {    int count = 0;    for (int i = y; i <= sqrt(x); i++) {        if (x % i == 0) {            count += (i == x/i) ? 1 : 2; // If i and x/i are the same, count it once, else twice            count += countDivisors(x/i, i);        }    }    return count;}int main() {    int k, n, t;    cin >> k;    for (int i = 0; i < k; i++) {        cin >> t;        cout << countDivisors(t, 2) << endl;    }    return 0;}",1
"#include<iostream>#include<cmath>using namespace std;int countDivisors(int n, int minDivisor){    int count = 0;    for(int i = minDivisor; i <= sqrt(n); i++){        if(n % i == 0){            count += countDivisors(n / i, i);            if(n / i != i) count += countDivisors(i, i);        }    }    return count + 1;}int main(){    int n, num;    cin >> n;    while(n--){        cin >> num;        cout << countDivisors(num, 2) << endl;    }    return 0;}",1
"#include <cmath>int factorCount(int n, int m) { int sum = 1; double t = sqrt(n); for(int i = m; i <= t; i++) { if(n % i == 0) sum += factorCount(n / i, i); } return sum; }int main() { int n, num; std::cin >> n; for(int i = 0; i < n; i++) { std::cin >> num; std::cout << factorCount(num, 2) << std::endl; } return 0;}",1
#include<iostream>#include<cmath>#include<vector>#include<algorithm>usingnamespacestd;intmain(){intm;cin>>m;vector<int>nums(m);for(int&n:nums)cin>>n;for(int&n:nums){set<int>factors;intnum=n;for(inti=2;i*i<=num;i++){if(num%i==0){factors.insert(i);while(num%i==0)num/=i;}if(num>1)factors.insert(num);}cout<<factors.size()<<endl;}return0;},1
"#include <iostream> #include <cmath> using namespace std; int solve(int a, int min) { if (a < min) { return 0; } int result = 1; for (int i = min; i < a; i++) { if (a % i == 0) { result += solve(a / i, i); } } return result; } int main() { int n; cin >> n; for (int i = 0; i < n; i++) { int a; cin >> a; cout << solve(a, 2) << endl; } return 0; }",1
"#include <iostream> #include <cmath> using namespace std; int s = 0; void f(int x, int y) { if (x == 1) s++; else { for (; y <= x; y++) { if (x % y == 0) { f(x / y, y); } } } } int main() { int q, n; cin >> q; for (int j = 0; j < q; j++) { cin >> n; f(n, 2); cout << s << endl; s = 0; } return 0; }",1
"#include <iostream>#include <cmath>using namespace std;int factorize(int num, int divisor) {    int count = 1;    if(num < divisor)        return 0;    for(int i = divisor; i <= sqrt(num); i++) {        if(num % i == 0)            count += factorize(num / i, i);    }    return count;}int main() {    int n;    cin >> n;    for(int i = 0; i < n; i++) {        int num;        cin >> num;        cout << factorize(num, 2) << endl;    }    return 0;}",1
"#include <iostream>

int gcd(int a, int b) {
    if(a == b)
        return 1;
    if(b > a)
        return 0;
    if(a % b != 0)
        return gcd(a, b + 1);
    if(a % b == 0)
        return gcd(a, b + 1) + gcd(a / b, b);
}

int main() {
    int n, i, x;
    std::cin >> n;
    for(i = 0; i < n; i++) {
        std::cin >> x;
        std::cout << gcd(x, 2) << std::endl;
    }
    return 0;
}",1
"#include <iostream>#include <cmath>using namespace std;int factor(int num, int minA1) {    int count = 0;    int sqrtNum = sqrt(num);    for(int i = minA1; i <= sqrtNum; i++) {        if(num % i == 0) {            count++;            count += factor(num / i, i);        }    }    return count + 1;}int main() {    int n;    cin >> n;    while(n--) {        int num;        cin >> num;        cout << factor(num, 2) << endl;    }    return 0;}",1
